channel_handle,snapshot_date,month,video_count,total_views,avg_views
@fixedreturnsacademy,2026-05-18,2025-08,30,22364,745.5
@fixedreturnsacademy,2026-05-18,2025-09,27,38327,1419.5
@fixedreturnsacademy,2026-05-18,2025-10,20,29882,1494.1
@fixedreturnsacademy,2026-05-18,2025-11,15,33415,2227.7
@fixedreturnsacademy,2026-05-18,2025-12,19,20656,1087.2
@fixedreturnsacademy,2026-05-18,2026-01,18,15947,885.9
@fixedreturnsacademy,2026-05-18,2026-02,26,15063,579.3
@fixedreturnsacademy,2026-05-18,2026-03,17,16716,983.3
@fixedreturnsacademy,2026-05-18,2026-04,21,87379,4160.9
@fixedreturnsacademy,2026-05-18,2026-05,10,16035,1603.5
