channel_handle,snapshot_date,avg_uploads_per_month,avg_gap_days,median_gap_days,longest_gap_days
@fixedreturnsacademy,2026-05-18,20.3,1.4,1.0,7
@fixedreturnsacademy,2026-05-19,20.3,1.4,1.0,7
@fixedreturnsacademy,2026-05-20,20.4,1.4,1.0,7
@fixedreturnsacademy,2026-05-21,20.4,1.4,1.0,7
@fixedreturnsacademy,2026-05-22,20.4,1.4,1.0,7
@fixedreturnsacademy,2026-05-23,20.5,1.4,1.0,7
@fixedreturnsacademy,2026-05-26,20.6,1.4,1.0,7
@fixedreturnsacademy,2026-05-27,20.6,1.4,1.0,7
@fixedreturnsacademy,2026-05-28,20.7,1.4,1.0,7
@fixedreturnsacademy,2026-05-29,20.7,1.4,1.0,7
@fixedreturnsacademy,2026-05-30,20.7,1.4,1.0,7
@fixedreturnsacademy,2026-05-31,20.7,1.4,1.0,7
@fixedreturnsacademy,2026-06-01,20.7,1.4,1.0,7
@fixedreturnsacademy,2026-06-02,18.91,1.4,1.0,7
@fixedreturnsacademy,2026-06-03,19.0,1.4,1.0,7
@fixedreturnsacademy,2026-06-04,19.09,1.4,1.0,7
@fixedreturnsacademy,2026-06-05,19.18,1.4,1.0,7
@fixedreturnsacademy,2026-06-06,19.27,1.4,1.0,7
@fixedreturnsacademy,2026-06-07,19.27,1.4,1.0,7
@fixedreturnsacademy,2026-06-08,19.36,1.4,1.0,7
@fixedreturnsacademy,2026-06-09,19.36,1.4,1.0,7
@fixedreturnsacademy,2026-06-10,19.45,1.4,1.0,7
@fixedreturnsacademy,2026-06-11,19.55,1.4,1.0,7
@fixedreturnsacademy,2026-06-12,19.64,1.4,1.0,7
@fixedreturnsacademy,2026-06-13,19.73,1.4,1.0,7
@fixedreturnsacademy,2026-06-14,19.73,1.4,1.0,7
