channel_handle,snapshot_date,videos_ge_1k,videos_ge_10k,videos_ge_100k,p10_views,p25_views,p50_views,p75_views,p90_views,p95_views,mean_median_ratio,top10pct_view_share,gini,recent_video_count,breakout_1k_rate
@fixedreturnsacademy,2026-05-18,62,6,0,191.4,283.0,591.0,1134.5,2167.8,4948.5,2.47,0.594,0.6647,18,0.3333
@fixedreturnsacademy,2026-05-19,62,6,0,192.2,283.0,591.0,1137.0,2167.8,4966.6,2.47,0.5942,0.6644,18,0.3333
@fixedreturnsacademy,2026-05-20,62,8,0,193.6,284.0,593.0,1138.0,2163.8,4976.4,2.48,0.5951,0.6648,19,0.3158
@fixedreturnsacademy,2026-05-21,62,8,0,197.0,289.8,596.5,1140.0,2168.3,5034.2,2.48,0.5953,0.6638,18,0.2778
@fixedreturnsacademy,2026-05-22,62,8,0,198.9,292.2,598.0,1140.0,2172.7,5070.9,2.49,0.5961,0.6642,16,0.25
@fixedreturnsacademy,2026-05-23,62,8,0,200.2,290.0,597.0,1136.0,2170.6,5057.6,2.5,0.5967,0.6652,16,0.25
@fixedreturnsacademy,2026-05-26,64,8,0,196.0,292.2,601.5,1148.5,2181.5,5064.8,2.51,0.5977,0.6665,14,0.4286
@fixedreturnsacademy,2026-05-27,64,8,0,196.0,293.0,601.5,1153.5,2186.0,5079.5,2.53,0.5985,0.667,14,0.4286
@fixedreturnsacademy,2026-05-28,65,8,0,186.6,290.5,602.0,1159.5,2176.6,5043.0,2.52,0.5991,0.6688,15,0.4
@fixedreturnsacademy,2026-05-29,66,8,0,186.6,290.5,603.0,1159.5,2180.6,5059.0,2.53,0.5997,0.6691,15,0.4
@fixedreturnsacademy,2026-05-30,66,8,0,196.6,291.5,615.0,1159.5,2185.4,5066.8,2.5,0.6005,0.6695,14,0.4286
@fixedreturnsacademy,2026-05-31,66,8,0,197.8,293.0,617.0,1160.0,2189.0,5079.8,2.5,0.6011,0.6698,14,0.4286
@fixedreturnsacademy,2026-06-01,66,8,0,197.8,301.0,619.0,1161.0,2193.6,5085.9,2.5,0.6015,0.67,13,0.4615
@fixedreturnsacademy,2026-06-02,66,8,0,188.2,302.0,611.0,1168.0,2179.5,5060.9,2.54,0.6021,0.6721,14,0.4286
@fixedreturnsacademy,2026-06-03,66,8,0,191.8,298.0,603.0,1167.0,2164.0,5030.6,2.57,0.6022,0.673,15,0.4
@fixedreturnsacademy,2026-06-04,66,8,0,191.4,301.0,604.0,1167.8,2146.4,4998.8,2.57,0.6091,0.6735,15,0.3333
