channel_handle,snapshot_date,videos_last_30d,recent_avg_views,alltime_avg_views,freshness_delta_pct,subscriber_efficiency
@fixedreturnsacademy,2026-05-18,18,1826.4,1457.1,25.4,124.4
@fixedreturnsacademy,2026-05-19,18,1845.3,1460.0,26.4,124.4
@fixedreturnsacademy,2026-05-20,19,1870.9,1469.6,27.3,125.1
@fixedreturnsacademy,2026-05-21,18,1469.7,1482.2,-0.8,124.6
@fixedreturnsacademy,2026-05-22,16,1358.3,1491.6,-8.9,126.0
@fixedreturnsacademy,2026-05-23,16,1373.6,1493.3,-8.0,127.0
@fixedreturnsacademy,2026-05-26,14,1579.6,1510.7,4.6,128.0
@fixedreturnsacademy,2026-05-27,14,1608.0,1519.0,5.9,128.3
@fixedreturnsacademy,2026-05-28,15,1521.1,1519.1,0.1,128.6
@fixedreturnsacademy,2026-05-29,15,1549.7,1527.0,1.5,128.5
@fixedreturnsacademy,2026-05-30,14,1662.6,1535.4,8.3,128.5
@fixedreturnsacademy,2026-05-31,14,1684.0,1542.3,9.2,128.9
@fixedreturnsacademy,2026-06-01,13,1787.1,1549.0,15.4,129.5
@fixedreturnsacademy,2026-06-02,14,1683.7,1550.4,8.6,129.0
@fixedreturnsacademy,2026-06-03,15,1606.5,1552.6,3.5,129.1
@fixedreturnsacademy,2026-06-04,15,1555.7,1554.4,0.1,129.5
@fixedreturnsacademy,2026-06-05,15,1607.3,1565.5,2.7,130.8
@fixedreturnsacademy,2026-06-06,16,1594.2,1570.5,1.5,131.3
@fixedreturnsacademy,2026-06-07,16,1629.9,1578.9,3.2,132.0
@fixedreturnsacademy,2026-06-08,17,1560.8,1584.3,-1.5,132.5
@fixedreturnsacademy,2026-06-09,17,1571.4,1587.0,-1.0,132.6
@fixedreturnsacademy,2026-06-10,17,802.9,1587.9,-49.4,132.8
@fixedreturnsacademy,2026-06-11,17,809.1,1591.2,-49.2,133.0
@fixedreturnsacademy,2026-06-12,18,795.4,1593.1,-50.1,132.7
@fixedreturnsacademy,2026-06-13,18,682.1,1594.7,-57.2,133.2
@fixedreturnsacademy,2026-06-14,17,656.5,1600.5,-59.0,133.8
@fixedreturnsacademy,2026-06-15,16,709.5,1608.2,-55.9,133.4
@fixedreturnsacademy,2026-06-16,17,694.4,1608.9,-56.8,134.0
@fixedreturnsacademy,2026-06-17,17,690.5,1608.5,-57.1,134.0
@fixedreturnsacademy,2026-06-18,17,642.8,1608.2,-60.0,134.0
@fixedreturnsacademy,2026-06-19,16,575.4,1615.9,-64.4,133.8
@fixedreturnsacademy,2026-06-20,17,552.2,1615.1,-65.8,134.2
@fixedreturnsacademy,2026-06-21,17,561.5,1622.2,-65.4,135.0
