channel_handle,snapshot_date,tag,frequency,tag_type
@fixedreturnsacademy,2026-05-18,ytshort,106,platform
@fixedreturnsacademy,2026-05-18,ytvideo,63,platform
@fixedreturnsacademy,2026-05-18,bondbsc,40,product
@fixedreturnsacademy,2026-05-18,fixed income investing,37,product
@fixedreturnsacademy,2026-05-18,corporate bonds india,30,product
@fixedreturnsacademy,2026-05-18,fixed returns academy,24,brand
@fixedreturnsacademy,2026-05-18,corporate bonds,21,product
@fixedreturnsacademy,2026-05-18,bondbyd,19,product
@fixedreturnsacademy,2026-05-18,finenjy,19,brand
@fixedreturnsacademy,2026-05-18,government bonds india,19,product
@fixedreturnsacademy,2026-05-18,bond investing,17,product
@fixedreturnsacademy,2026-05-18,fixed return investments india,15,product
@fixedreturnsacademy,2026-05-18,how bonds work,15,educational
@fixedreturnsacademy,2026-05-18,personal finance india,15,other
@fixedreturnsacademy,2026-05-18,grip invest,14,brand
@fixedreturnsacademy,2026-05-18,grip invest bonds,13,brand
@fixedreturnsacademy,2026-05-18,how to invest in bonds,13,educational
@fixedreturnsacademy,2026-05-18,bond investing india,12,product
@fixedreturnsacademy,2026-05-18,bond market india,12,product
@fixedreturnsacademy,2026-05-18,investing for beginners,12,other
@fixedreturnsacademy,2026-05-18,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-18,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-18,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-18,bonds,11,product
@fixedreturnsacademy,2026-05-18,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-18,fixed returns,11,product
@fixedreturnsacademy,2026-05-18,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-18,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-18,bond market explained,10,educational
@fixedreturnsacademy,2026-05-18,bonds explained,10,educational
@fixedreturnsacademy,2026-05-19,ytshort,106,platform
@fixedreturnsacademy,2026-05-19,ytvideo,63,platform
@fixedreturnsacademy,2026-05-19,bondbsc,40,product
@fixedreturnsacademy,2026-05-19,fixed income investing,37,product
@fixedreturnsacademy,2026-05-19,corporate bonds india,30,product
@fixedreturnsacademy,2026-05-19,fixed returns academy,24,brand
@fixedreturnsacademy,2026-05-19,corporate bonds,21,product
@fixedreturnsacademy,2026-05-19,bondbyd,19,product
@fixedreturnsacademy,2026-05-19,finenjy,19,brand
@fixedreturnsacademy,2026-05-19,government bonds india,19,product
@fixedreturnsacademy,2026-05-19,bond investing,17,product
@fixedreturnsacademy,2026-05-19,fixed return investments india,15,product
@fixedreturnsacademy,2026-05-19,how bonds work,15,educational
@fixedreturnsacademy,2026-05-19,personal finance india,15,other
@fixedreturnsacademy,2026-05-19,grip invest,14,brand
@fixedreturnsacademy,2026-05-19,grip invest bonds,13,brand
@fixedreturnsacademy,2026-05-19,how to invest in bonds,13,educational
@fixedreturnsacademy,2026-05-19,bond investing india,12,product
@fixedreturnsacademy,2026-05-19,bond market india,12,product
@fixedreturnsacademy,2026-05-19,investing for beginners,12,other
@fixedreturnsacademy,2026-05-19,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-19,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-19,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-19,bonds,11,product
@fixedreturnsacademy,2026-05-19,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-19,fixed returns,11,product
@fixedreturnsacademy,2026-05-19,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-19,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-19,bond market explained,10,educational
@fixedreturnsacademy,2026-05-19,bonds explained,10,educational
