channel_handle,snapshot_date,dimension,bucket,video_count,avg_views
@fixedreturnsacademy,2026-05-18,day,Monday,33,2420.2
@fixedreturnsacademy,2026-05-18,day,Sunday,16,1225.4
@fixedreturnsacademy,2026-05-18,day,Friday,33,1792.8
@fixedreturnsacademy,2026-05-18,day,Thursday,31,803.1
@fixedreturnsacademy,2026-05-18,day,Wednesday,30,2060.9
@fixedreturnsacademy,2026-05-18,day,Tuesday,38,831.5
@fixedreturnsacademy,2026-05-18,day,Saturday,22,855.9
@fixedreturnsacademy,2026-05-18,hour,19,27,2103.4
@fixedreturnsacademy,2026-05-18,hour,21,2,320.0
@fixedreturnsacademy,2026-05-18,hour,18,46,1435.1
@fixedreturnsacademy,2026-05-18,hour,17,79,1348.5
@fixedreturnsacademy,2026-05-18,hour,16,16,619.8
@fixedreturnsacademy,2026-05-18,hour,15,9,630.0
@fixedreturnsacademy,2026-05-18,hour,22,2,4931.5
@fixedreturnsacademy,2026-05-18,hour,14,9,2924.3
@fixedreturnsacademy,2026-05-18,hour,12,3,299.7
@fixedreturnsacademy,2026-05-18,hour,20,2,2909.0
@fixedreturnsacademy,2026-05-18,hour,3,1,302.0
@fixedreturnsacademy,2026-05-18,hour,13,3,1649.0
@fixedreturnsacademy,2026-05-18,hour,11,3,610.0
@fixedreturnsacademy,2026-05-18,hour,10,1,243.0
@fixedreturnsacademy,2026-05-19,day,Monday,33,2429.8
@fixedreturnsacademy,2026-05-19,day,Sunday,16,1232.8
@fixedreturnsacademy,2026-05-19,day,Friday,33,1793.9
@fixedreturnsacademy,2026-05-19,day,Thursday,31,803.4
@fixedreturnsacademy,2026-05-19,day,Wednesday,30,2062.2
@fixedreturnsacademy,2026-05-19,day,Tuesday,38,832.8
@fixedreturnsacademy,2026-05-19,day,Saturday,22,856.8
@fixedreturnsacademy,2026-05-19,hour,19,27,2108.6
@fixedreturnsacademy,2026-05-19,hour,21,2,322.5
@fixedreturnsacademy,2026-05-19,hour,18,46,1437.5
@fixedreturnsacademy,2026-05-19,hour,17,79,1351.0
@fixedreturnsacademy,2026-05-19,hour,16,16,619.8
@fixedreturnsacademy,2026-05-19,hour,15,9,630.2
@fixedreturnsacademy,2026-05-19,hour,22,2,4986.0
@fixedreturnsacademy,2026-05-19,hour,14,9,2925.0
@fixedreturnsacademy,2026-05-19,hour,12,3,299.7
@fixedreturnsacademy,2026-05-19,hour,20,2,2911.5
@fixedreturnsacademy,2026-05-19,hour,3,1,302.0
@fixedreturnsacademy,2026-05-19,hour,13,3,1652.7
@fixedreturnsacademy,2026-05-19,hour,11,3,610.0
@fixedreturnsacademy,2026-05-19,hour,10,1,243.0
@fixedreturnsacademy,2026-05-20,day,Tuesday,39,820.4
@fixedreturnsacademy,2026-05-20,day,Monday,33,2480.2
@fixedreturnsacademy,2026-05-20,day,Sunday,16,1287.3
@fixedreturnsacademy,2026-05-20,day,Friday,33,1799.9
@fixedreturnsacademy,2026-05-20,day,Thursday,31,805.5
@fixedreturnsacademy,2026-05-20,day,Wednesday,30,2069.4
@fixedreturnsacademy,2026-05-20,day,Saturday,22,859.2
@fixedreturnsacademy,2026-05-20,hour,18,47,1418.1
@fixedreturnsacademy,2026-05-20,hour,19,27,2140.1
@fixedreturnsacademy,2026-05-20,hour,21,2,328.0
@fixedreturnsacademy,2026-05-20,hour,17,79,1367.3
@fixedreturnsacademy,2026-05-20,hour,16,16,620.4
@fixedreturnsacademy,2026-05-20,hour,15,9,631.4
@fixedreturnsacademy,2026-05-20,hour,22,2,5279.0
@fixedreturnsacademy,2026-05-20,hour,14,9,2933.8
@fixedreturnsacademy,2026-05-20,hour,12,3,301.7
@fixedreturnsacademy,2026-05-20,hour,20,2,2920.0
@fixedreturnsacademy,2026-05-20,hour,3,1,302.0
@fixedreturnsacademy,2026-05-20,hour,13,3,1663.3
@fixedreturnsacademy,2026-05-20,hour,11,3,610.7
@fixedreturnsacademy,2026-05-20,hour,10,1,244.0
@fixedreturnsacademy,2026-05-21,day,Tuesday,39,841.2
@fixedreturnsacademy,2026-05-21,day,Monday,33,2506.1
@fixedreturnsacademy,2026-05-21,day,Sunday,16,1313.6
@fixedreturnsacademy,2026-05-21,day,Friday,33,1804.2
@fixedreturnsacademy,2026-05-21,day,Thursday,31,807.9
@fixedreturnsacademy,2026-05-21,day,Wednesday,30,2077.3
@fixedreturnsacademy,2026-05-21,day,Saturday,22,860.7
@fixedreturnsacademy,2026-05-21,hour,18,47,1440.4
@fixedreturnsacademy,2026-05-21,hour,19,27,2148.6
@fixedreturnsacademy,2026-05-21,hour,21,2,330.0
@fixedreturnsacademy,2026-05-21,hour,17,79,1376.9
@fixedreturnsacademy,2026-05-21,hour,16,16,621.4
@fixedreturnsacademy,2026-05-21,hour,15,9,633.0
@fixedreturnsacademy,2026-05-21,hour,22,2,5485.0
@fixedreturnsacademy,2026-05-21,hour,14,9,2939.2
@fixedreturnsacademy,2026-05-21,hour,12,3,301.7
@fixedreturnsacademy,2026-05-21,hour,20,2,2927.5
@fixedreturnsacademy,2026-05-21,hour,3,1,302.0
@fixedreturnsacademy,2026-05-21,hour,13,3,1670.0
@fixedreturnsacademy,2026-05-21,hour,11,3,612.0
@fixedreturnsacademy,2026-05-21,hour,10,1,244.0
